university,policy_title,url,document_type,publishing_date,department
Harvard University,University Committee on Rights and Responsibilities: Fact-finding Procedures and University-wide Approach to Discipline (2025),https://provost.harvard.edu/sites/g/files/omnuum12476/files/2025-09/UCRR%20Procedures%20and%20Discipline_9.4.25.pdf,PDF,2023,Registrar's Office
Harvard University,Statement on Outside Activities of Holders of Academic Appointments,https://provost.harvard.edu/statement-outside-activities-holders-academic-appointments,PDF,2024,Office of the Vice President for Research
Harvard University,Data Privacy and Security Policy,https://ist.mit.edu/data-privacy.pdf,PDF,2022,Information Systems and Technology
Harvard University,Responsible AI Development Framework,https://computing.mit.edu/responsible-ai-framework.pdf,PDF,2023,MIT Schwarzman College of Computing
Harvard University,Student Code of Conduct - Academic Integrity and AI,https://handbook.mit.edu/academic-integrity-ai,Webpage,2024,Division of Student Life
Harvard University,Appointments of Officers and Staff of the University,https://provost.harvard.edu/appointments-officers-staff,Webpage,2024,Office of the Provost
Harvard University,CIP Code Change Policy,https://provost.harvard.edu/cip-code-change-policy,PDF,2023,Office of Institutional Research
Harvard University,Criteria for Provost's Review of New Projects or Grants,https://provost.harvard.edu/criteria-review-projects-grants,Webpage,2022,Office of the Provost
Harvard University,FERPA Overview,https://registrar.harvard.edu/ferpa-overview,Webpage,2024,Registrar's Office
Harvard University,Principles and Guidelines for the Establishment of Centers,https://provost.harvard.edu/principles-guidelines-establishment-centers,PDF,2020,Office of the Provost
Harvard University,Provost’s Statement about the Establishment of Centers,https://provost.harvard.edu/statement-establishment-centers,PDF,2020,Office of the Provost
Harvard University,Residency Guidelines,https://registrar.harvard.edu/residency-guidelines,Webpage,2023,Registrar's Office
Harvard University,University-Wide Statement on Rights and Responsibilities,https://provost.harvard.edu/university-wide-statement-rights-responsibilities,PDF,2002,Office of the Governing Boards
Harvard University,Update on University Committee on Rights and Responsibilities (2025),https://provost.harvard.edu/update-ucrr-2025,Webpage,2025,Office of the Provost
Harvard University,Statement of the Interim President and Deans of Harvard University on University Rights and Responsibilities (2024),https://provost.harvard.edu/statement-interim-president-rights-responsibilities-2024,PDF,2024,Office of the President
Harvard University,Statement of the President and Deans on University Rights and Responsibilities (2002),https://provost.harvard.edu/statement-president-deans-rights-responsibilities-2002,PDF,2002,Office of the President
